Gaze point at (425.918125885191, 381.998187587374) @619604512.842894
Gaze point at (687.908032787887, 65.2930151830742) @619608399.033162

Gaze point at (688.114982230195, 65.0822279029923) @619608410.279821

Gaze point at (688.695438239495, 64.8265489176656) @619608420.757637

Gaze point at (689.306539392536, 64.0386030389033) @619608432.207237

Gaze point at (689.773168677923, 63.5981301462378) @619608443.632577

Gaze point at (690.656620697999, 61.6003335998047) @619608453.96297

Gaze point at (691.034177515751, 61.4703244503093) @619608465.519872

Gaze point at (691.931413822266, 61.1679126822055) @619608476.870101

Gaze point at (692.20374371077, 60.721663510942) @619608487.335787

Gaze point at (692.303129952083, 61.0613843343032) @619608498.849768

Gaze point at (692.182935816646, 61.6856118104049) @619608510.229389

Gaze point at (692.194984184498, 61.7047845748305) @619608520.707671

Gaze point at (692.832608260634, 61.3016267682971) @619608532.249644

Gaze point at (694.132730436878, 60.9259105777992) @619608543.308292

Gaze point at (694.728415585798, 60.8139217284823) @619608553.930732

Gaze point at (694.453536853699, 60.3422941282306) @619608565.539886

Gaze point at (694.675742762319, 60.5490883993955) @619608576.800541

Gaze point at (695.090481584993, 60.3452537175857) @619608587.323144

Gaze point at (695.272746294168, 60.2907620326012) @619608598.830594

Gaze point at (696.295333302907, 59.7381117369475) @619608610.086117

Gaze point at (696.871684873348, 59.0563457101752) @619608620.564866

Gaze point at (701.242910046341, 53.1151126979438) @619608632.167022

Gaze point at (701.162680556489, 54.15008039758) @619608643.453336

Gaze point at (699.387383115612, 51.3935142444551) @619608653.717015

Gaze point at (689.988993084148, 26.1164004275391) @619608665.366756

Gaze point at (690.142639415016, 29.3565859773514) @619608675.437758

Gaze point at (669.581536326062, 69.6033010956098) @619608685.595067

Gaze point at (780.710507267098, 820.643538947623) @619608775.497893

Gaze point at (844.379443653289, 900.884664167937) @619608785.743844

Gaze point at (688.704687322449, 741.019457370889) @619608797.883443

Gaze point at (409.851661435539, 454.660288488283) @619608808.750812

Gaze point at (427.821372728176, 357.56113540671) @619608820.087978

Gaze point at (464.717414478429, 270.878384293871) @619608831.824495

Gaze point at (482.922878746081, 205.657758199661) @619608843.379997

Gaze point at (485.57973620692, 188.796343783255) @619608853.847083

Gaze point at (482.43554356107, 187.266151026062) @619608865.242099

Gaze point at (497.156183626126, 161.922339549067) @619608876.523282

Gaze point at (497.065090757858, 152.052877293853) @619608887.066412

Gaze point at (519.910563604163, 81.6368455025421) @619608898.484288

Gaze point at (533.164427451527, 47.3504454171318) @619608909.988472

Gaze point at (533.932930004993, 43.6403959051909) @619608920.339392

Gaze point at (532.639589521595, 43.9376287017284) @619608931.991933

Gaze point at (529.994451308247, 45.6239132409272) @619608943.437801

Gaze point at (531.570281343845, 43.9692288972629) @619608953.685617

Gaze point at (1020.71676191254, 64.4603537481964) @621452.245970457
Gaze point at (988.234525293856, 42.736670495847) @621452.412709513
Gaze point at (807.086704959214, 64.0927906077858) @621452.579011897
Gaze point at (764.92965342017, 94.9501412975018) @621452.745437911
Gaze point at (986.533746226566, 53.0521279348508) @621452.911949301
Gaze point at (1024.22879043712, 53.6005230059233) @621453.078421036
Gaze point at (1039.41555081008, 49.4651850339336) @621453.245337374
Gaze point at (1046.42694742778, 48.9487186160697) @621453.411510062
Gaze point at (1034.68200699357, 63.4813320770622) @621453.577654292
Gaze point at (1091.42620513996, 41.6135205836299) @621453.744862212
Gaze point at (1316.43153287256, 31.9504935263399) @621453.911432385
Gaze point at (1337.29992546191, 33.3999054219627) @621454.077677386
Gaze point at (1340.61044501058, 35.3354051207729) @621454.244436037
Gaze point at (1115.62196610191, 57.4838667881748) @621454.410915702
Gaze point at (803.623677290055, 133.476164128143) @621454.57780918
Gaze point at (591.848340238079, 430.440362849079) @621454.844028942
Gaze point at (736.384219585793, 121.477417710578) @621455.010523536
Gaze point at (713.117297638058, 109.131743824562) @621455.176954683
Gaze point at (131.400922120556, 396.246777582119) @621455.343746457
Gaze point at (137.45028512775, 385.216305228073) @621455.510229855
Gaze point at (224.682206445997, 373.292516984679) @621455.676542503
Gaze point at (202.573950846704, 381.970460827629) @621455.843354338
Gaze point at (205.692561241917, 393.680667591345) @621456.009836803
Gaze point at (212.876920312904, 439.091329275342) @621456.176398578
Gaze point at (221.437729623189, 445.60163207239) @621456.343011671
Gaze point at (216.68293460365, 446.920489093216) @621456.509385901
Gaze point at (213.905544972895, 452.5953063249) @621456.676049846
