Gaze point at (382.43295847937, 119.62244702248) @619695535.473839
Gaze point at (527.474545069643, 59.7497795971369) @619698266.794994

Gaze point at (527.619549413964, 58.7064889526268) @619698277.355386

Gaze point at (528.24618448976, 56.8712604709954) @619698288.707014

Gaze point at (527.67111471644, 56.3816429672314) @619698300.076838

Gaze point at (528.872063037442, 56.3510184911101) @619698310.617635

Gaze point at (529.38098896961, 56.3512174835471) @619698321.965532

Gaze point at (537.246381681909, 57.1232059701041) @619698333.58215

Gaze point at (547.393320430689, 56.9832591362666) @619698343.85236

Gaze point at (565.978597143867, 55.7688981742688) @619698355.47411

Gaze point at (574.884653219954, 54.9470564897163) @619698366.965697

Gaze point at (583.114750883438, 53.749353308494) @619698377.141668

Gaze point at (588.988316599281, 52.9842903366668) @619698388.68924

Gaze point at (595.585530154447, 52.1799149363435) @619698400.121111

Gaze point at (638.559002207706, 47.5436792354423) @619698410.662376

Gaze point at (639.555685706348, 47.1989742334562) @619698422.049927

Gaze point at (638.970706812689, 46.8496633062786) @619698433.346972

Gaze point at (639.239585680944, 46.2113979396295) @619698443.889169

Gaze point at (637.120934202572, 45.7099571577002) @619698455.206741

Gaze point at (637.060449685797, 45.6488024013111) @619698466.912466

Gaze point at (640.749586227229, 49.7349568732957) @619698477.193406

Gaze point at (642.459783574331, 51.4555424382198) @619698488.628544

Gaze point at (642.606868613094, 51.6861469260895) @619698500.165852

Gaze point at (643.89369440603, 53.1442961332737) @619698510.468252

Gaze point at (644.553938525387, 54.0946186488629) @619698521.938846

Gaze point at (644.953308156605, 55.1279853755795) @619698533.315201

Gaze point at (645.344537601657, 55.5891228398) @619698543.680583

Gaze point at (645.777352827067, 56.1657442237187) @619698555.27994

Gaze point at (646.264786210534, 56.536620992136) @619698566.769661

Gaze point at (647.407525846419, 58.5494938709931) @619698577.22555

Gaze point at (648.925830744666, 60.732687247696) @619698588.56085

Gaze point at (648.838157147288, 60.587354894788) @619698599.979659

Gaze point at (649.062316571666, 58.9913477522922) @619698610.349707

Gaze point at (649.252766576111, 56.7940121369119) @619698621.739124

