STARTING DATA RECORDING
Gaze point at (1302.84963169755, 7.32195249231779) @376329.726485945
Gaze point at (1308.80411606692, 15.8130023928201) @376329.892690592
Gaze point at (1308.35159116603, 10.069057996277) @376330.059545581
Gaze point at (345.763700198633, 450.315123869722) @376330.225634061
Gaze point at (368.885261367466, 437.511250115794) @376330.392551566
Gaze point at (373.654028734776, 436.510396313091) @376330.558904568
Gaze point at (1055.38344635493, 131.745981343341) @376330.725539822
Gaze point at (1040.53084831572, 138.459525523216) @376330.892042115
Gaze point at (1072.98534603285, 102.170682097854) @376331.058652176
Gaze point at (1071.77146238996, 98.8197696181167) @376331.22528323
STARTING DATA RECORDING
Gaze point at (742.751005676224, 43.1998577242457) @376343.432526205
Gaze point at (742.389974228317, 48.9578581348241) @376343.599134866
Gaze point at (740.929392510089, 49.3794140336416) @376343.765723
Gaze point at (740.504457831625, 48.0699326749716) @376343.932168843
Gaze point at (773.410523372187, -1.45911325660768) @376344.098854015
Gaze point at (770.16193515363, 1.04078606865272) @376344.265179026
Gaze point at (765.845471007966, 2.41485232351351) @376344.431807749
Gaze point at (766.036582135288, 3.93714865368489) @376344.598435071
Gaze point at (764.125858622951, 2.40466325967847) @376344.765111379
Gaze point at (765.093445765184, 3.39538897298496) @376344.931574017
Gaze point at (768.022881203137, 1.86970020656287) @376345.098207404
Gaze point at (763.951427764712, 8.39761436492708) @376345.264607993
Gaze point at (761.868486390585, 3.42663841929229) @376345.430998785
Gaze point at (792.105975718113, 99.85898567471) @376345.920668407
Gaze point at (742.368122961873, 12.7365223135496) @376346.087047536
Gaze point at (773.026374713514, 34.8836162276491) @376346.253894128
Gaze point at (769.700883034679, 17.8536688170178) @376346.420427211
Gaze point at (672.732159198922, 410.069663644932) @376346.586937435
Gaze point at (732.849695990134, 510.314141019918) @376346.753403338
Gaze point at (673.187919377155, 543.955124628992) @376346.919914028
Gaze point at (687.018309112747, 704.845261339185) @376347.086431716
Gaze point at (686.335501025317, 719.281509463731) @376347.252925144
Gaze point at (685.937858175013, 720.832014190845) @376347.419510013
Gaze point at (688.498656234246, 748.663046312199) @376347.584093
Gaze point at (679.570264586877, 751.43550994641) @376347.800008304
Gaze point at (312.958851166161, 357.544215343929) @376347.966860028
Gaze point at (332.353894746262, 457.862633177715) @376348.133547533
Gaze point at (346.908229525368, 440.651434997204) @376348.300654915
Gaze point at (313.726200815744, 400.285428224316) @376348.466696276
Gaze point at (299.841283671617, 388.301869699231) @376348.633485484
Gaze point at (292.365580365464, 372.614838477853) @376348.799970982
Gaze point at (311.651033711288, 373.147591056095) @376348.966637026
Gaze point at (701.799967371768, 572.446305856476) @376349.13327088
Gaze point at (708.797175305017, 570.220102363196) @376349.29981796
Gaze point at (772.317088732231, 561.408455105855) @376349.466128042
Gaze point at (793.127758252877, 562.223869771494) @376349.63282861
Gaze point at (803.189168034552, 571.023040460682) @376349.799422342
Gaze point at (794.884607289338, 574.456876485568) @376349.965789808
Gaze point at (764.486280344226, 557.733300267073) @376350.132485244
Gaze point at (759.445250502749, 559.499913417411) @376350.298718815
Gaze point at (754.878204777699, 556.334397459439) @376350.465714696
Gaze point at (753.374625344757, 559.214248043266) @376350.632176867
Gaze point at (446.481037321709, 425.812595305072) @376350.798777598
Gaze point at (668.936957116475, 575.053615513847) @376350.965066686
Gaze point at (683.00800201973, 570.394233044071) @376351.131964129
Gaze point at (729.616192572677, 577.02517140645) @376351.298335793
Gaze point at (792.549704054355, 549.76826171387) @376351.464877741
Gaze point at (783.833000027469, 556.933669007623) @376351.631412691
Gaze point at (763.800564722396, 567.677547351234) @376351.798345591
Gaze point at (762.849899469415, 574.164788793067) @376351.964656139
Gaze point at (760.203367154464, 575.824411704593) @376352.130966221
Gaze point at (345.611095372307, 421.774135117206) @376352.297442855
Gaze point at (243.734347087319, 381.90180184854) @376352.464045918
Gaze point at (238.436719387953, 386.3287908993) @376352.630474499
Gaze point at (242.79793747686, 385.572683748787) @376352.796971193
Gaze point at (277.683648562213, 340.865276518744) @376352.963727744
Gaze point at (315.669654166694, 421.206558383139) @376353.128153044
Gaze point at (865.928242491048, 573.948344707532) @376353.374443663
Gaze point at (874.264667023943, 571.684702527319) @376353.541236137
Gaze point at (908.435573883112, 580.077656564042) @376353.707610134
Gaze point at (903.282083596856, 581.253783661372) @376353.874164678
Gaze point at (456.17063071533, 406.11994022219) @376354.041037395
Gaze point at (236.764986598232, 330.303310453186) @376354.207336747
Gaze point at (241.624962855189, 339.46026832947) @376354.374178674
Gaze point at (247.041652034817, 337.214922425329) @376354.540377721
Gaze point at (251.075254643185, 338.272911858504) @376354.706901008
Gaze point at (226.68623883447, 346.047769561615) @376354.873459284
Gaze point at (219.008842686597, 340.388185980188) @376355.040306809
Gaze point at (800.593303519223, 525.490794609695) @376355.206822164
Gaze point at (1058.44969324688, 597.88854856791) @376355.373142043
Gaze point at (1047.50548382782, 598.245839204124) @376355.539956445
Gaze point at (345.507473127335, 398.464792650289) @376355.706390157
Gaze point at (363.017593015838, 406.34731603709) @376355.872725899
Gaze point at (246.688407665597, 365.455913485507) @376356.03943673
Gaze point at (250.602869075211, 366.871625304042) @376356.205736082
Gaze point at (971.074039784585, 779.825216160379) @376356.484179961
Gaze point at (1000.35788557558, 636.931937996799) @376356.650694383
Gaze point at (1009.32024925302, 652.397519846357) @376356.816968543
Gaze point at (1010.22328044389, 633.478478136563) @376356.983791342
Gaze point at (1009.9693281223, 634.477907894441) @376357.150002986
Gaze point at (1012.48678114597, 634.281237447559) @376357.316681627
Gaze point at (1015.76897198205, 637.173859693542) @376357.483224507
Gaze point at (1021.50217103943, 632.317636506655) @376357.64992181
